Name,Milkness,Strength,Sweetness,State
Kopi,condensed milk,normal,half,warm
Kopi O,no milk,normal,half,warm
Kopi C,evaporated milk,normal,half,warm
Kopi Po,condensed milk,weak,half,warm
Kopi O Po,no milk,weak,half,warm
Kopi C Po,evaporated milk,weak,half,warm
Kopi Gau,condensed milk,strong,half,warm
Kopi O Gau,no milk,strong,half,warm
Kopi C Gau,evaporated milk,strong,half,warm
Kopi Di Lo,condensed milk,stronger,half,warm
Kopi O Di Lo,no milk,stronger,half,warm
Kopi C Di Lo,evaporated milk,stronger,half,warm
Kopi Siu Dai,condensed milk,normal,less sweet,warm
Kopi O Siu Dai,no milk,normal,less sweet,warm
Kopi C Siu Dai,evaporated milk,normal,less sweet,warm
Kopi Po Siu Dai,condensed milk,weak,less sweet,warm
Kopi O Po Siu Dai,no milk,weak,less sweet,warm
Kopi C Po Siu Dai,evaporated milk,weak,less sweet,warm
Kopi Gau Siu Dai,condensed milk,strong,less sweet,warm
Kopi O Gau Siu Dai,no milk,strong,less sweet,warm
Kopi C Gau Siu Dai,evaporated milk,strong,less sweet,warm
Kopi Di Lo Siu Dai,condensed milk,stronger,less sweet,warm
Kopi O Di Lo Siu Dai,no milk,stronger,less sweet,warm
Kopi C Di Lo Siu Dai,evaporated milk,stronger,less sweet,warm
Kopi O Kosong,no milk,normal,no sugar,warm
Kopi C Kosong,evaporated milk,normal,no sugar,warm
Kopi O Po Kosong,no milk,weak,no sugar,warm
Kopi C Po Kosong,evaporated milk,weak,no sugar,warm
Kopi O Gau Kosong,no milk,strong,no sugar,warm
Kopi C Gau Kosong,evaporated milk,strong,no sugar,warm
Kopi O Di Lo Kosong,no milk,stronger,no sugar,warm
Kopi C Di Lo Kosong,evaporated milk,stronger,no sugar,warm
Kopi Gah Dai,condensed milk,normal,sweeter,warm
Kopi O Gah Dai,no milk,normal,sweeter,warm
Kopi C Gah Dai,evaporated milk,normal,sweeter,warm
Kopi Po Gah Dai,condensed milk,weak,sweeter,warm
Kopi O Po Gah Dai,no milk,weak,sweeter,warm
Kopi C Po Gah Dai,evaporated milk,weak,sweeter,warm
Kopi Gau Gah Dai,condensed milk,strong,sweeter,warm
Kopi O Gau Gah Dai,no milk,strong,sweeter,warm
Kopi C Gau Gah Dai,evaporated milk,strong,sweeter,warm
Kopi Di Lo Gah Dai,condensed milk,stronger,sweeter,warm
Kopi O Di Lo Gah Dai,no milk,stronger,sweeter,warm
Kopi C Di Lo Gah Dai,evaporated milk,stronger,sweeter,warm
Kopi Pua Sio,condensed milk,normal,half,lukewarm
Kopi O Pua Sio,no milk,normal,half,lukewarm
Kopi C Pua Sio,evaporated milk,normal,half,lukewarm
Kopi Po Pua Sio,condensed milk,weak,half,lukewarm
Kopi O Po Pua Sio,no milk,weak,half,lukewarm
Kopi C Po Pua Sio,evaporated milk,weak,half,lukewarm
Kopi Gau Pua Sio,condensed milk,strong,half,lukewarm
Kopi O Gau Pua Sio,no milk,strong,half,lukewarm
Kopi C Gau Pua Sio,evaporated milk,strong,half,lukewarm
Kopi Di Lo Pua Sio,condensed milk,stronger,half,lukewarm
Kopi O Di Lo Pua Sio,no milk,stronger,half,lukewarm
Kopi C Di Lo Pua Sio,evaporated milk,stronger,half,lukewarm
Kopi Siu Dai Pua Sio,condensed milk,normal,less sweet,lukewarm
Kopi O Siu Dai Pua Sio,no milk,normal,less sweet,lukewarm
Kopi C Siu Dai Pua Sio,evaporated milk,normal,less sweet,lukewarm
Kopi Po Siu Dai Pua Sio,condensed milk,weak,less sweet,lukewarm
Kopi O Po Siu Dai Pua Sio,no milk,weak,less sweet,lukewarm
Kopi C Po Siu Dai Pua Sio,evaporated milk,weak,less sweet,lukewarm
Kopi Gau Siu Dai Pua Sio,condensed milk,strong,less sweet,lukewarm
Kopi O Gau Siu Dai Pua Sio,no milk,strong,less sweet,lukewarm
Kopi C Gau Siu Dai Pua Sio,evaporated milk,strong,less sweet,lukewarm
Kopi Di Lo Siu Dai Pua Sio,condensed milk,stronger,less sweet,lukewarm
Kopi O Di Lo Siu Dai Pua Sio,no milk,stronger,less sweet,lukewarm
Kopi C Di Lo Siu Dai Pua Sio,evaporated milk,stronger,less sweet,lukewarm
Kopi O Kosong Pua Sio,no milk,normal,no sugar,lukewarm
Kopi C Kosong Pua Sio,evaporated milk,normal,no sugar,lukewarm
Kopi O Po Kosong Pua Sio,no milk,weak,no sugar,lukewarm
Kopi C Po Kosong Pua Sio,evaporated milk,weak,no sugar,lukewarm
Kopi O Gau Kosong Pua Sio,no milk,strong,no sugar,lukewarm
Kopi C Gau Kosong Pua Sio,evaporated milk,strong,no sugar,lukewarm
Kopi O Di Lo Kosong Pua Sio,no milk,stronger,no sugar,lukewarm
Kopi C Di Lo Kosong Pua Sio,evaporated milk,stronger,no sugar,lukewarm
